"CVE","CvrfDocument","LastRevisionDate","FullProductName","Article","Severity","Impact","Title","Supercedence"
"CVE-2019-1018","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 10 for x64-based Systems","4503291","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4499154"
"CVE-2019-1018","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 10 Version 1607 for 32-bit Systems","4503267","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4494440"
"CVE-2019-1018","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 10 Version 1607 for x64-based Systems","4503267","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4494440"
"CVE-2019-1018","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2016","4503267","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4494440"
"CVE-2019-1018","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2016  (Server Core installation)","4503267","Important","Elevation of Privilege","DirectX Elevation of Privilege Vulnerability","4494440"
"CVE-2019-1029","June 2019 Security Updates","2019-06-11T07:00:00Z","Microsoft Lync Server 2010","4506009","Important","Denial of Service","Skype for Business and Lync Server Denial of Service Vulnerability",
"CVE-2019-1029","June 2019 Security Updates","2019-06-11T07:00:00Z","Microsoft Lync Server 2013","4506009","Important","Denial of Service","Skype for Business and Lync Server Denial of Service Vulnerability",
"CVE-2019-1036","June 2019 Security Updates","2019-06-11T07:00:00Z","Microsoft SharePoint Enterprise Server 2016","4464594","Important","Spoofing","Microsoft Office SharePoint XSS Vulnerability","4464549"
"CVE-2019-1036","June 2019 Security Updates","2019-06-11T07:00:00Z","Microsoft SharePoint Server 2019","4475512","Important","Spoofing","Microsoft Office SharePoint XSS Vulnerability","4464556"
"CVE-2019-1036","June 2019 Security Updates","2019-06-11T07:00:00Z","Microsoft Project Server 2010 Service Pack 2","4092442","Important","Spoofing","Microsoft Office SharePoint XSS Vulnerability","4022210"
"CVE-2019-1036","June 2019 Security Updates","2019-06-11T07:00:00Z","Microsoft SharePoint Foundation 2013 Service Pack 1","4464602","Important","Spoofing","Microsoft Office SharePoint XSS Vulnerability","4464564"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 10 Version 1703 for 32-bit Systems","4503279","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499181"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 10 Version 1703 for x64-based Systems","4503279","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499181"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 10 Version 1803 for 32-bit Systems","4503286","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499167"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 10 Version 1803 for x64-based Systems","4503286","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499167"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server, version 1803  (Server Core Installation)","4503286","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499167"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 10 Version 1803 for ARM64-based Systems","4503286","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499167"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 10 Version 1809 for 32-bit Systems","4503327","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4494441"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 10 Version 1809 for x64-based Systems","4503327","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4494441"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 10 Version 1809 for ARM64-based Systems","4503327","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4494441"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2019","4503327","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4494441"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2019  (Server Core installation)","4503327","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4494441"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 10 Version 1709 for 32-bit Systems","4503284","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499179"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 10 Version 1709 for x64-based Systems","4503284","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499179"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 10 Version 1709 for ARM64-based Systems","4503284","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499179"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 10 Version 1903 for 32-bit Systems","4503293","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4497936"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 10 Version 1903 for x64-based Systems","4503293","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4497936"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 10 Version 1903 for ARM64-based Systems","4503293","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4497936"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server, version 1903 (Server Core installation)","4503293","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4497936"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 10 for 32-bit Systems","4503291","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499154"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 10 for x64-based Systems","4503291","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499154"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 10 Version 1607 for 32-bit Systems","4503267","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4494440"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 10 Version 1607 for x64-based Systems","4503267","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4494440"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2016","4503267","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4494440"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2016  (Server Core installation)","4503267","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4494440"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 7 for 32-bit Systems Service Pack 1","4503292","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499164"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 7 for x64-based Systems Service Pack 1","4503292","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499164"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1","4503292","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499164"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2008 R2 for x64-based Systems Service Pack 1","4503292","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499164"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation)","4503292","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499164"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 7 for 32-bit Systems Service Pack 1","4503269","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability",
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 7 for x64-based Systems Service Pack 1","4503269","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability",
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1","4503269","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability",
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2008 R2 for x64-based Systems Service Pack 1","4503269","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability",
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation)","4503269","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability",
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 8.1 for 32-bit systems","4503276","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499151"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 8.1 for x64-based systems","4503276","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499151"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows RT 8.1","4503276","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499151"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2012 R2","4503276","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499151"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2012 R2 (Server Core installation)","4503276","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499151"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 8.1 for 32-bit systems","4503290","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability",
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows 8.1 for x64-based systems","4503290","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability",
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2012 R2","4503290","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability",
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2012 R2 (Server Core installation)","4503290","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability",
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2008 for 32-bit Systems Service Pack 2","4503273","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499149"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation)","4503273","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499149"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2008 for Itanium-Based Systems Service Pack 2","4503273","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499149"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2008 for x64-based Systems Service Pack 2","4503273","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499149"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation)","4503273","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability","4499149"
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2008 for 32-bit Systems Service Pack 2","4503287","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability",
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation)","4503287","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability",
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2008 for Itanium-Based Systems Service Pack 2","4503287","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability",
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2008 for x64-based Systems Service Pack 2","4503287","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability",
"CVE-2019-1046","June 2019 Security Updates","2019-06-11T07:00:00Z","Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation)","4503287","Important","Information Disclosure","Windows GDI Information Disclosure Vulnerability",
